name,pos,school,age,projRound,projPick,seasons,games,rushYds,rushTDs,rushAtt,recYds,recTDs,receptions,passTDs,weight,forty,height,bestRecYds,bestRushYds,dominatorRating,breakoutAge,breakoutScore,recYdsPerTPA,receptionShare,teammateScore
Deion Burks,WR,Oklahoma,22,5,155,3,35,80,1,12,1380,9,98,0,188,4.38,71,580,80,20.2,21,0.028,0.028,0.12,0.06
Kevin Coleman,WR,Arizona,22,6,185,3,33,60,1,10,1280,8,92,0,180,4.38,70,520,60,18.8,21,0.025,0.025,0.11,0.04
Barion Brown,WR,Kentucky,22,7,215,3,36,80,1,12,1350,8,95,0,182,4.32,71,520,80,18.0,21,0.025,0.025,0.10,0.04
Kendrick Law,WR,Alabama,21,7,225,2,24,30,0,5,680,5,48,0,178,4.35,70,380,30,14.5,20,0.018,0.018,0.08,0.12
Jeff Caldwell,WR,Florida,22,7,235,3,35,20,0,3,1050,7,78,0,185,4.48,72,420,20,16.5,21,0.022,0.022,0.10,0.04
Max Klare,TE,Illinois,22,3,65,3,35,0,0,0,980,8,72,0,250,4.62,78,420,0,14.5,21,0.018,0.018,0.08,0.04
Sam Roush,TE,North Carolina,22,4,115,3,35,0,0,0,820,7,62,0,245,4.58,77,350,0,12.8,21,0.016,0.016,0.07,0.04
Justin Joly,TE,UCF,22,4,120,3,36,0,0,0,780,6,58,0,242,4.60,77,320,0,11.5,21,0.015,0.015,0.07,0.02
Joe Royer,TE,Cincinnati,23,6,188,4,44,0,0,0,1050,8,78,0,248,4.62,78,380,0,13.2,22,0.018,0.018,0.08,0.03
Oscar Delp,TE,Texas,22,6,192,3,36,0,0,0,820,7,62,0,242,4.58,77,350,0,12.0,21,0.016,0.016,0.07,0.06
Jack Endries,TE,Michigan,23,5,135,4,44,0,0,0,680,5,52,0,248,4.62,78,280,0,10.5,22,0.013,0.013,0.06,0.06
Marlin Klein,TE,Kansas,22,5,140,3,35,0,0,0,620,5,48,0,250,4.65,78,250,0,10.0,21,0.012,0.012,0.06,0.04
Dallen Bentley,TE,Arizona State,22,5,145,3,33,0,0,0,580,5,45,0,245,4.60,77,240,0,9.8,21,0.012,0.012,0.05,0.08
Eli Raridon,TE,Notre Dame,22,7,222,3,30,0,0,0,420,4,35,0,240,4.60,77,180,0,8.5,21,0.010,0.010,0.05,0.15
Tanner Koziol,TE,Iowa,23,7,230,4,42,0,0,0,520,4,42,0,248,4.65,77,210,0,8.0,22,0.010,0.010,0.05,0.03
Dae'Quan Wright,TE,Georgia,22,7,238,3,30,0,0,0,380,3,30,0,240,4.58,76,160,0,7.5,21,0.008,0.008,0.04,0.12
John Michael Gyllenborg,TE,Alabama,22,7,242,3,32,0,0,0,450,4,35,0,245,4.62,77,180,0,7.8,21,0.009,0.009,0.04,0.12
Nate Boerkircher,TE,Wisconsin,23,7,248,4,44,0,0,0,480,3,38,0,250,4.65,78,180,0,7.2,22,0.008,0.008,0.04,0.03
Josh Cuevas,TE,Michigan,22,7,252,3,32,0,0,0,350,3,28,0,242,4.60,77,140,0,6.8,21,0.007,0.007,0.04,0.06
Riley Nowakowski,TE,Indiana,22,7,255,3,34,0,0,0,380,3,30,0,245,4.62,77,150,0,7.0,21,0.007,0.007,0.04,0.02
Matthew Hibner,TE,Tulane,23,7,258,4,40,0,0,0,420,3,34,0,240,4.58,76,160,0,7.5,22,0.008,0.008,0.04,0.02
Jaren Kanak,TE,Kansas,22,7,260,3,30,0,0,0,320,3,26,0,248,4.65,78,130,0,6.5,21,0.006,0.006,0.03,0.04
Will Kacmarek,TE,Northwestern,23,7,262,4,40,0,0,0,380,3,30,0,242,4.62,77,150,0,6.8,22,0.007,0.007,0.04,0.03
RJ Maryland,TE,SMU,22,7,264,3,34,0,0,0,450,4,36,0,245,4.58,77,180,0,8.0,21,0.009,0.009,0.05,0.02
Bauer Sharp,TE,Iowa State,22,7,266,3,32,0,0,0,350,3,28,0,248,4.65,78,140,0,6.5,21,0.006,0.006,0.03,0.04
Miles Kitselman,TE,UCF,23,7,268,4,44,0,0,0,520,4,42,0,250,4.60,78,200,0,8.2,22,0.010,0.010,0.05,0.02
DJ Rogers,TE,Minnesota,22,7,270,3,32,0,0,0,380,3,30,0,240,4.58,76,150,0,7.0,21,0.007,0.007,0.04,0.03
Josh Downs,WR,North Carolina,22,3,79,3,33,0,0,0,2483,22,202,0,171,4.48,69,1335,0,32.5,20,0.055,0.055,0.24,0.08
Jaxon Smith-Njigba,WR,Ohio State,21,1,20,2,22,40,0,5,1977,10,115,0,196,4.49,73,1606,40,28.6,19,0.055,0.055,0.20,0.22
Jordan Addison,WR,USC,21,1,23,3,36,0,0,0,3134,29,219,0,173,4.49,71,1593,0,30.5,19,0.052,0.052,0.22,0.09
Quentin Johnston,WR,TCU,22,1,21,3,36,68,0,11,2190,14,115,0,208,4.49,76,1069,68,26.8,20,0.038,0.038,0.14,0.06
Zay Flowers,WR,Boston College,22,1,22,4,44,110,1,18,3056,29,200,0,182,4.42,69,1077,110,28.2,21,0.038,0.038,0.17,0.02
Jonathan Mingo,WR,Ole Miss,22,2,39,4,44,0,0,0,1758,12,112,0,220,4.46,74,861,0,18.2,21,0.025,0.025,0.11,0.05
Jalin Hyatt,WR,Tennessee,21,3,73,3,29,0,0,0,1792,18,108,0,176,4.40,71,1267,0,30.2,20,0.045,0.045,0.16,0.06
Jayden Reed,WR,Michigan State,23,2,50,5,55,153,2,22,2606,25,189,0,187,4.45,71,1026,153,22.5,21,0.035,0.035,0.14,0.04
Marvin Mims,WR,Oklahoma,21,2,63,3,37,30,0,5,2398,20,153,0,183,4.38,71,1083,30,26.2,20,0.038,0.038,0.14,0.08
Rashee Rice,WR,SMU,23,2,55,4,44,0,0,0,3170,20,219,0,204,4.51,73,1355,0,25.8,22,0.040,0.040,0.17,0.04
Tank Dell,WR,Houston,23,3,69,4,44,0,0,0,2727,29,199,0,165,4.50,69,1329,0,32.8,22,0.048,0.048,0.17,0.06
De'Zhaun Stribling,WR,Mississippi State,24,4,112,5,52,30,0,5,3050,25,205,0,201,4.36,73,1130,30,21.5,21,0.030,0.030,0.13,0.04
CJ Daniels,WR,Miami,24,4,108,5,50,40,0,6,2580,22,180,0,205,4.49,74,1015,40,19.8,21,0.028,0.028,0.12,0.05
